time,L_total,omega_total,L_cluster0,omega_cluster0,L_cluster1,omega_cluster1,L_cluster2,omega_cluster2,L_cluster3,omega_cluster3,L_cluster4,omega_cluster4,L_cluster5,omega_cluster5
39.3000,-15.479612,-0.038699,420.208487,3.820077,-266.261211,-2.894144,-110.958963,-1.132234,-42.116713,-0.457790,0.000000,0.000000,0.000000,0.000000
39.3250,27.283538,0.068209,-135.076286,-1.227966,9.304890,0.101140,154.175614,1.573221,-35.899739,-0.390215,0.000000,0.000000,0.000000,0.000000
39.3500,-171.092256,-0.427731,67.170328,0.610639,143.061154,1.555013,-239.933064,-2.499303,-125.241941,-1.361325,0.000000,0.000000,0.000000,0.000000
39.3750,329.221291,0.823053,152.590044,1.387182,-47.470194,-0.515980,171.448895,1.863575,16.462648,0.169718,0.000000,0.000000,0.000000,0.000000
39.4000,228.589071,0.571473,-84.213589,-0.765578,-26.202593,-0.281748,282.645549,3.072234,67.370606,0.694542,0.000000,0.000000,0.000000,0.000000
39.4250,-488.633384,-1.221583,-70.098696,-0.637261,-211.537399,-2.299320,-123.963192,-1.347426,-98.862710,-1.019203,0.000000,0.000000,0.000000,0.000000
39.4500,-354.515091,-0.886288,-115.751991,-1.052291,19.968518,0.217049,-61.143767,-0.664606,-206.746990,-2.153614,0.000000,0.000000,0.000000,0.000000
39.4750,90.713313,0.226783,64.565055,0.701794,10.035742,0.090412,84.374913,0.917119,-46.856606,-0.488090,0.000000,0.000000,0.000000,0.000000
39.5000,-252.844942,-0.632112,-72.366077,-0.786588,241.263851,2.173548,-366.136695,-3.774605,-120.842417,-1.313505,0.000000,0.000000,0.000000,0.000000
39.5250,-11.593982,-0.028985,49.473205,0.537752,-188.795410,-1.700860,29.446685,0.320073,82.833504,0.853954,0.000000,0.000000,0.000000,0.000000
39.5500,257.156590,0.642891,4.833029,0.052533,2.068391,0.022483,345.042132,3.108488,-102.479062,-1.056485,0.000000,0.000000,0.000000,0.000000
39.5750,299.284379,0.748211,-55.030492,-0.500277,24.615177,0.267556,239.564975,2.603967,29.751937,0.303591,0.000000,0.000000,0.000000,0.000000
39.6000,-114.322467,-0.285806,23.345976,0.251032,-97.542684,-1.060247,50.048833,0.459164,-126.284439,-1.288617,0.000000,0.000000,0.000000,0.000000
39.6250,-63.541541,-0.158854,42.116839,0.452869,106.160159,1.153915,-63.501848,-0.582586,-111.057871,-1.133244,0.000000,0.000000,0.000000,0.000000
39.6500,196.862455,0.492156,181.403804,1.950579,-36.769273,-0.399666,-3.597394,-0.033004,-100.052861,-1.020948,0.000000,0.000000,0.000000,0.000000
39.6750,19.702970,0.049257,-79.508894,-0.854934,77.858051,0.846283,-30.170710,-0.274279,75.693200,0.764578,0.000000,0.000000,0.000000,0.000000
39.7000,178.376696,0.445942,58.732283,0.638394,346.039497,3.761299,-73.314079,-0.666492,-113.603440,-1.159219,0.000000,0.000000,0.000000,0.000000
39.7250,446.987802,1.117470,275.797474,2.997799,60.326167,0.655719,380.362931,3.426693,-215.881088,-2.180617,0.000000,0.000000,0.000000,0.000000
39.7500,119.750668,0.299377,224.543886,2.440694,-143.150418,-1.555983,-20.881607,-0.188123,82.480533,0.841638,0.000000,0.000000,0.000000,0.000000
39.7750,134.851960,0.337130,30.221007,0.328489,-44.444295,-0.483090,83.956470,0.770243,58.104572,0.592904,0.000000,0.000000,0.000000,0.000000
39.8000,36.578002,0.091445,-86.994645,-0.945594,25.852028,0.281000,48.440938,0.440372,66.739739,0.681018,0.000000,0.000000,0.000000,0.000000
39.8250,-293.718636,-0.734297,69.655501,0.757125,-116.001278,-1.260883,-143.507150,-1.304610,-106.336059,-1.085062,0.000000,0.000000,0.000000,0.000000
39.8500,-113.922278,-0.284806,-148.955352,-1.619080,-97.724115,-1.062219,157.046368,1.427694,38.763600,0.391552,0.000000,0.000000,0.000000,0.000000
39.8750,-301.995288,-0.754988,-140.802071,-1.530457,-50.041896,-0.543934,108.844178,0.989493,-188.404085,-1.922491,0.000000,0.000000,0.000000,0.000000
39.9000,-22.404242,-0.056011,-132.751192,-1.442948,-40.653628,-0.441887,281.360981,2.557827,-133.492956,-1.376216,0.000000,0.000000,0.000000,0.000000
39.9250,67.254061,0.168135,77.455656,0.841909,-89.449965,-0.972282,-43.965097,-0.410889,88.275415,0.910056,0.000000,0.000000,0.000000,0.000000
39.9500,-251.445027,-0.628613,-191.266386,-2.078982,-22.718206,-0.246937,76.753769,0.710683,-88.621093,-0.913620,0.000000,0.000000,0.000000,0.000000
39.9750,-243.277902,-0.608195,-150.442230,-1.635242,-108.887440,-1.183559,30.026116,0.280618,-36.809937,-0.383437,0.000000,0.000000,0.000000,0.000000
40.0000,183.123215,0.457808,193.720107,2.105653,17.327433,0.188342,-42.309246,-0.395414,53.086803,0.552988,0.000000,0.000000,0.000000,0.000000
40.0250,84.109385,0.210273,148.482011,1.613935,-67.579758,-0.734563,221.167465,2.047847,-179.565731,-1.870476,0.000000,0.000000,0.000000,0.000000
40.0500,504.868181,1.262170,291.883729,3.138535,326.052659,3.582996,34.451490,0.325014,-51.221551,-0.539174,0.000000,0.000000,0.000000,0.000000
40.0750,449.234938,1.123087,121.291051,1.304205,-189.237557,-2.079534,170.845574,1.553142,311.739003,3.281463,0.000000,0.000000,0.000000,0.000000
40.1000,331.602691,0.829007,-72.852710,-0.783362,116.779970,1.283296,238.339754,2.206850,69.569984,0.732316,0.000000,0.000000,0.000000,0.000000
40.1250,-214.412354,-0.536031,-198.302561,-2.132286,21.049794,0.231316,-69.698074,-0.633619,37.133382,0.399284,0.000000,0.000000,0.000000,0.000000
40.1500,27.811927,0.069530,227.335225,2.444465,-91.021038,-0.989359,-284.988365,-2.590803,179.965452,1.935112,0.000000,0.000000,0.000000,0.000000
40.1750,144.775166,0.361938,-124.877139,-1.342765,-150.998590,-1.641289,395.478093,3.766458,-45.014714,-0.489290,0.000000,0.000000,0.000000,0.000000
40.2000,-138.686704,-0.346717,16.964607,0.182415,105.730236,1.149242,-126.503036,-1.193425,-71.544302,-0.777655,0.000000,0.000000,0.000000,0.000000
40.2250,220.279148,0.550698,26.580492,0.285812,61.921163,0.673056,169.442049,1.613734,32.356769,0.351704,0.000000,0.000000,0.000000,0.000000
40.2500,355.508108,0.888770,64.782099,0.704153,183.892460,1.977338,-51.321402,-0.488775,106.369382,1.143757,0.000000,0.000000,0.000000,0.000000
40.2750,-312.151181,-0.780378,47.192477,0.507446,-150.064184,-1.649057,-125.396130,-1.182982,-156.998605,-1.670198,0.000000,0.000000,0.000000,0.000000
40.3000,-159.533724,-0.398834,49.028741,0.527191,-20.536138,-0.223219,-51.856646,-0.493873,-71.622120,-0.746064,0.000000,0.000000,0.000000,0.000000
40.3250,120.833887,0.302085,-249.311578,-2.680770,192.466791,2.092030,116.373161,1.108316,103.160819,1.121313,0.000000,0.000000,0.000000,0.000000
40.3500,-347.855975,-0.869640,-338.952178,-3.644647,-340.356856,-3.699531,77.261872,0.735827,275.240371,2.959574,0.000000,0.000000,0.000000,0.000000
40.3750,48.475174,0.121188,78.593569,0.845092,-114.236608,-1.241702,-127.463409,-1.202485,211.064315,2.245365,0.000000,0.000000,0.000000,0.000000
40.4000,58.095022,0.145238,108.467556,1.166318,-48.087263,-0.522688,72.811012,0.686896,-15.979592,-0.168206,0.000000,0.000000,0.000000,0.000000
40.4250,232.817425,0.582044,-7.959455,-0.085586,182.624872,1.985053,-173.794168,-1.655183,216.883195,2.307268,0.000000,0.000000,0.000000,0.000000
40.4500,-158.760664,-0.396902,-310.558823,-3.339342,57.819710,0.628475,99.539749,0.947998,4.020465,0.042771,0.000000,0.000000,0.000000,0.000000
40.4750,-213.710894,-0.534277,10.837724,0.117801,11.953202,0.128529,-93.687527,-0.900842,-84.898215,-0.903172,0.000000,0.000000,0.000000,0.000000
40.5000,158.847433,0.397119,189.596235,2.060829,-101.202261,-1.100025,28.270885,0.271835,-47.926439,-0.509856,0.000000,0.000000,0.000000,0.000000
40.5250,79.003008,0.197508,126.087442,1.370516,-106.029249,-1.152492,129.303026,1.243298,-134.683439,-1.432803,0.000000,0.000000,0.000000,0.000000
40.5500,202.399205,0.505998,150.779765,1.638910,-15.435547,-0.148419,141.690513,1.540114,-102.072325,-1.097552,0.000000,0.000000,0.000000,0.000000
40.5750,532.654202,1.331636,-104.437289,-1.135188,132.817936,1.443673,137.200727,1.306674,350.334822,3.807987,0.000000,0.000000,0.000000,0.000000
40.6000,186.037307,0.465093,52.329771,0.568802,90.554010,0.984283,88.419330,0.834145,-16.885547,-0.179633,0.000000,0.000000,0.000000,0.000000
40.6250,128.568869,0.321422,122.780163,1.334567,-289.088462,-3.108478,250.761734,2.411171,36.663398,0.394230,0.000000,0.000000,0.000000,0.000000
40.6500,-80.864665,-0.202162,-230.884753,-2.509617,-28.191226,-0.306426,52.022070,0.490774,94.260862,1.013558,0.000000,0.000000,0.000000,0.000000
40.6750,-226.067350,-0.565168,-63.596377,-0.691265,-12.215756,-0.132780,134.977909,1.285504,-257.113090,-2.794707,0.000000,0.000000,0.000000,0.000000
40.7000,-135.499372,-0.338748,127.497125,1.385838,102.218935,1.111075,-12.114883,-0.115380,-252.213069,-2.741446,0.000000,0.000000,0.000000,0.000000
40.7250,-322.208965,-0.805522,-205.324592,-2.231789,-38.387510,-0.417256,-3.686826,-0.034781,-69.321504,-0.737463,0.000000,0.000000,0.000000,0.000000
40.7500,-75.627150,-0.189068,-99.937473,-1.086277,-111.380552,-1.210658,41.597205,0.388759,84.510149,0.889581,0.000000,0.000000,0.000000,0.000000
40.7750,37.033331,0.092583,185.611386,2.017515,-118.797199,-1.120728,-15.307411,-0.164596,-32.773604,-0.341392,0.000000,0.000000,0.000000,0.000000
40.8000,-280.658105,-0.701645,142.576182,1.345058,-127.236273,-1.383003,-192.851624,-2.073673,-91.037673,-0.958291,0.000000,0.000000,0.000000,0.000000
40.8250,-242.092921,-0.605232,-281.768507,-3.062701,-43.652922,-0.411820,114.919511,1.235694,36.838429,0.391898,0.000000,0.000000,0.000000,0.000000
