time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
48.6500,-351.250378,-15.940214,-0.360938,-0.159402,-52.978873,-0.176243,-361.992721,-0.631232,0.000000,0.000000,0.000000,0.000000,-0.454989,3.695644
48.6750,-493.988389,88.692561,-0.151102,0.886926,-142.164720,-1.381352,-337.071651,-1.618385,-58.267836,-0.274445,0.000000,0.000000,-0.237033,-9.429623
48.7000,530.470214,147.305145,0.165384,1.473051,-237.386790,-1.342483,767.857005,1.543387,0.000000,0.000000,0.000000,0.000000,2.885871,-0.709126
48.7250,344.151323,-61.743857,0.330968,-0.617439,271.363830,0.921970,72.787493,-0.231204,0.000000,0.000000,0.000000,0.000000,-1.153173,-1.755975
48.7500,862.200399,-76.628833,0.688434,-0.766288,342.820087,0.333809,437.375979,0.704242,0.000000,0.000000,0.000000,0.000000,0.370433,1.828004
48.7750,490.138612,81.308117,0.847364,0.813081,330.948929,1.439737,159.189682,0.260885,0.000000,0.000000,0.000000,0.000000,-1.178853,-2.610876
48.8000,541.705307,-22.400202,0.326199,-0.224002,217.397754,0.334919,324.307553,0.317904,0.000000,0.000000,0.000000,0.000000,-0.017014,1.346342
48.8250,-207.788753,93.189948,-0.247837,0.931899,80.582483,0.939280,-18.456430,-0.112315,-273.013459,-1.732017,0.000000,0.000000,-1.051594,-0.442837
48.8500,-211.992954,241.654896,0.218394,2.416549,35.663429,0.353639,-149.264918,0.225612,0.000000,0.000000,0.000000,0.000000,-0.128027,-5.068174
48.8750,230.484954,83.287920,-0.150422,0.832879,-416.045778,-1.141087,504.057548,0.602117,0.000000,0.000000,0.000000,0.000000,1.743204,-2.606824
48.9000,-252.640151,46.091353,-0.366529,0.460914,150.827521,-0.094261,-232.207140,-0.414992,0.000000,0.000000,0.000000,0.000000,-0.320731,3.271086
48.9250,528.502854,-0.385191,0.442873,-0.003852,398.516417,0.870491,149.650413,0.085602,0.000000,0.000000,0.000000,0.000000,-0.784888,-0.622283
48.9500,500.443699,-160.468720,0.557474,-1.604687,100.844622,0.446747,409.980963,0.694500,0.000000,0.000000,0.000000,0.000000,0.247753,-1.155904
48.9750,-641.489061,-83.638442,-0.682305,-0.836384,-281.320845,-0.684191,-368.470611,-0.710965,0.000000,0.000000,0.000000,0.000000,-0.026774,3.006371
49.0000,-512.293502,-161.207514,-0.260438,-1.612075,-121.380246,0.194060,-390.913256,-0.675793,0.000000,0.000000,0.000000,0.000000,-0.869853,-1.146231
49.0250,-54.824347,-29.239347,0.332100,-0.292393,-41.678286,0.497661,-13.146062,0.174615,0.000000,0.000000,0.000000,0.000000,-0.323046,1.119660
49.0500,-402.906350,16.886632,-0.433889,0.168866,236.281325,0.457697,-639.187675,-1.273537,0.000000,0.000000,0.000000,0.000000,-1.731234,-5.145020
49.0750,174.193588,-160.358023,0.087499,-1.603580,-82.929549,-0.836199,108.951104,1.488753,6.497001,-0.107448,0.000000,0.000000,2.324952,9.012608
